goal,keyword,pattern,course_count,score,weight,keyword_repeat
1,critical race,\b(\d*)critical race(\d*)\b,,,1,
1,economic development,\b(\d*)economic development(\d*)\b,,,1,
1,economic inequality,\b(\d*)economic inequality(\d*)\b,,,1,
1,foreign policy,\b(\d*)foreign policy(\d*)\b,,,1,
1,low income,\b(\d*)low income(\d*)\b,,,1,TRUE
1,political economy,\b(\d*)political economy(\d*)\b,,,1,
1,race gender,\b(\d*)race gender(\d*)\b,,,1,
1,disadvantaged,\b(\d*)disadvantaged(\d*)\b,,,1,
1,land,\b(\d*)land(\d*)\b,,,1,
1,racism,\b(\d*)racism(\d*)\b,,,1,
1,urban,\b(\d*)urban(\d*)\b,,,1,
1,unemployment,\b(\d*)unemployment(\d*)\b,,,1,TRUE
1,bank,\b(\d*)bank(\d*)\b,,,1,
1,marxist,\b(\d*)marxist(\d*)\b,,,1,
1,policies,\b(\d*)policies(\d*)\b,,,1,
1,access,\b(\d*)access(\d*)\b,,,1,TRUE
1,developing country,\b(\d*)developing country(\d*)\b,,,1,
1,family,\b(\d*)family(\d*)\b,,,1,
1,redistribution,\b(\d*)redistribution(\d*)\b,,,1,
1,social welfare,\b(\d*)social welfare(\d*)\b,,,2,
1,vulnerabilities,\b(\d*)vulnerabilities(\d*)\b,,,1,TRUE
1,water,\b(\d*)water(\d*)\b,,,1,
2,food,\b(\d*)food(\d*)\b,,,4,TRUE
2,class,\b(\d*)class(\d*)\b,,,1,
2,social,\b(\d*)social(\d*)\b,,,1,
2,environmental,\b(\d*)environmental(\d*)\b,,,1,TRUE
2,global,\b(\d*)global(\d*)\b,,,1,
2,human,\b(\d*)human(\d*)\b,,,1,
2,world,\b(\d*)world(\d*)\b,,,1,
2,gender,\b(\d*)gender(\d*)\b,,,1,
2,processes,\b(\d*)processes(\d*)\b,,,1,
2,classroom,\b(\d*)classroom(\d*)\b,,,1,
2,climate,\b(\d*)climate(\d*)\b,,,1,
2,development,\b(\d*)development(\d*)\b,,,1,
2,historical,\b(\d*)historical(\d*)\b,,,1,
2,history,\b(\d*)history(\d*)\b,,,1,
2,justice,\b(\d*)justice(\d*)\b,,,1,
2,political,\b(\d*)political(\d*)\b,,,1,
2,systems,\b(\d*)systems(\d*)\b,,,1,
2,climate change,\b(\d*)climate change(\d*)\b,,,1,
2,eating,\b(\d*)eating(\d*)\b,,,2,TRUE
2,plants,\b(\d*)plants(\d*)\b,,,2,
2,organisms,\b(\d*)organisms(\d*)\b,,,1,
2,agricultural,\b(\d*)agricultural(\d*)\b,,,2,TRUE
2,biological,\b(\d*)biological(\d*)\b,,,1,
2,environmental change,\b(\d*)environmental change(\d*)\b,,,1,
2,environmental issues,\b(\d*)environmental issues(\d*)\b,,,1,
2,political ecology,\b(\d*)political ecology(\d*)\b,,,1,
2,eat,\b(\d*)eat(\d*)\b,,,2,
2,air pollution,\b(\d*)air pollution(\d*)\b,,,1,
2,eating disorders,\b(\d*)eating disorders(\d*)\b,,,1,
2,ecological issues,\b(\d*)ecological issues(\d*)\b,,,1,
2,environmental degradation,\b(\d*)environmental degradation(\d*)\b,,,1,TRUE
2,food production,\b(\d*)food production(\d*)\b,,,1,
2,food systems,\b(\d*)food systems(\d*)\b,,,2,
2,fuel metabolic,\b(\d*)fuel metabolic(\d*)\b,,,1,
2,historical perspective,\b(\d*)historical perspective(\d*)\b,,,1,
2,latin america,\b(\d*)latin america(\d*)\b,,,1,
2,metabolic processes,\b(\d*)metabolic processes(\d*)\b,,,1,
2,plow farm,\b(\d*)plow farm(\d*)\b,,,1,
2,domesticated,\b(\d*)domesticated(\d*)\b,,,1,
2,culinary,\b(\d*)culinary(\d*)\b,,,1,
2,gastronomic,\b(\d*)gastronomic(\d*)\b,,,1,
2,disorders,\b(\d*)disorders(\d*)\b,,,1,
2,genetically,\b(\d*)genetically(\d*)\b,,,1,
2,agribusiness,\b(\d*)agribusiness(\d*)\b,,,1,
2,agriculture,\b(\d*)agriculture(\d*)\b,,,2,
2,farm,\b(\d*)farm(\d*)\b,,,2,
2,resistance,\b(\d*)resistance(\d*)\b,,,1,
2,rural,\b(\d*)rural(\d*)\b,,,1,
2,fiber,\b(\d*)fiber(\d*)\b,,,2,
2,agricultural intensification,\b(\d*)agricultural intensification(\d*)\b,,,1,
2,farming,\b(\d*)farming(\d*)\b,,,1,
2,hunger,\b(\d*)hunger(\d*)\b,,,3,
2,malnutrition,\b(\d*)malnutrition(\d*)\b,,,2,
2,rural development,\b(\d*)rural development(\d*)\b,,,1,
2,wild,\b(\d*)wild(\d*)\b,,,1,
3,health,\b(\d*)health(\d*)\b,,,3,TRUE
3,disease,\b(\d*)disease(\d*)\b,,,3,TRUE
3,class,\b(\d*)class(\d*)\b,,,1,
3,illness,\b(\d*)illness(\d*)\b,,,2,
3,social,\b(\d*)social(\d*)\b,,,1,
3,political,\b(\d*)political(\d*)\b,,,1,
3,processes,\b(\d*)processes(\d*)\b,,,1,
3,gender,\b(\d*)gender(\d*)\b,,,1,
3,human,\b(\d*)human(\d*)\b,,,1,
3,global,\b(\d*)global(\d*)\b,,,1,
3,interdisciplinary,\b(\d*)interdisciplinary(\d*)\b,,,1,
3,politics,\b(\d*)politics(\d*)\b,,,1,
3,science,\b(\d*)science(\d*)\b,,,1,
3,world,\b(\d*)world(\d*)\b,,,1,
3,consequences,\b(\d*)consequences(\d*)\b,,,1,
3,covid,\b(\d*)covid(\d*)\b,,,2,
3,historical,\b(\d*)historical(\d*)\b,,,1,
3,mental,\b(\d*)mental(\d*)\b,,,2,
3,mental illness,\b(\d*)mental illness(\d*)\b,,,1,
3,brain,\b(\d*)brain(\d*)\b,,,1,
3,aids,\b(\d*)aids(\d*)\b,,,3,
3,diseases,\b(\d*)diseases(\d*)\b,,,2,
3,hiv,\b(\d*)hiv(\d*)\b,,,2,
3,disorders,\b(\d*)disorders(\d*)\b,,,3,
3,medical,\b(\d*)medical(\d*)\b,,,1,
3,eating,\b(\d*)eating(\d*)\b,,,1,
3,epidemic,\b(\d*)epidemic(\d*)\b,,,2,
3,global health,\b(\d*)global health(\d*)\b,,,3,
3,hiv aids,\b(\d*)hiv aids(\d*)\b,,,1,
3,public health,\b(\d*)public health(\d*)\b,,,1,
3,cognitive,\b(\d*)cognitive(\d*)\b,,,1,
3,neurons,\b(\d*)neurons(\d*)\b,,,1,
3,treatment,\b(\d*)treatment(\d*)\b,,,3,
3,climate change,\b(\d*)climate change(\d*)\b,,,1,
3,infectious diseases,\b(\d*)infectious diseases(\d*)\b,,,2,
3,clinical,\b(\d*)clinical(\d*)\b,,,2,
3,neural,\b(\d*)neural(\d*)\b,,,1,
3,psychological,\b(\d*)psychological(\d*)\b,,,2,
3,women,\b(\d*)women(\d*)\b,,,1,
3,malfunction,\b(\d*)malfunction(\d*)\b,,,1,
3,mediates,\b(\d*)mediates(\d*)\b,,,1,
3,obtains,\b(\d*)obtains(\d*)\b,,,1,
3,psychiatric,\b(\d*)psychiatric(\d*)\b,,,1,
3,suffering,\b(\d*)suffering(\d*)\b,,,2,
3,psychiatry,\b(\d*)psychiatry(\d*)\b,,,1,
3,sleep,\b(\d*)sleep(\d*)\b,,,1,
3,cholera,\b(\d*)cholera(\d*)\b,,,1,
3,drinking,\b(\d*)drinking(\d*)\b,,,1,
3,sars,\b(\d*)sars(\d*)\b,,,1,
3,cancer,\b(\d*)cancer(\d*)\b,,,2,
3,drug,\b(\d*)drug(\d*)\b,,,2,
3,obesity,\b(\d*)obesity(\d*)\b,,,1,
3,virus,\b(\d*)virus(\d*)\b,,,2,
3,abuse,\b(\d*)abuse(\d*)\b,,,2,
3,addiction,\b(\d*)addiction(\d*)\b,,,1,
3,alcohol,\b(\d*)alcohol(\d*)\b,,,1,
3,dengue,\b(\d*)dengue(\d*)\b,,,1,
3,diabetes,\b(\d*)diabetes(\d*)\b,,,1,
3,human health,\b(\d*)human health(\d*)\b,,,1,
3,influenza,\b(\d*)influenza(\d*)\b,,,1,
3,population,\b(\d*)population(\d*)\b,,,1,
3,ecology,\b(\d*)ecology(\d*)\b,,,1,
3,cellular,\b(\d*)cellular(\d*)\b,,,1,
3,molecular,\b(\d*)molecular(\d*)\b,,,1,
3,malaria,\b(\d*)malaria(\d*)\b,,,1,
3,stroke,\b(\d*)stroke(\d*)\b,,,1,
3,suicide,\b(\d*)suicide(\d*)\b,,,1,
3,tuberculosis,\b(\d*)tuberculosis(\d*)\b,,,1,
4,education,\b(\d*)education(\d*)\b,,,4,TRUE
4,students,\b(\d*)students(\d*)\b,,,1,
4,class,\b(\d*)class(\d*)\b,,,1,
4,educational,\b(\d*)educational(\d*)\b,,,4,TRUE
4,social,\b(\d*)social(\d*)\b,,,1,
4,united,\b(\d*)united(\d*)\b,,,1,
4,race,\b(\d*)race(\d*)\b,,,1,
4,culture,\b(\d*)culture(\d*)\b,,,1,
4,history,\b(\d*)history(\d*)\b,,,1,
4,economic,\b(\d*)economic(\d*)\b,,,1,
4,gender,\b(\d*)gender(\d*)\b,,,1,
4,political,\b(\d*)political(\d*)\b,,,1,
4,cultural,\b(\d*)cultural(\d*)\b,,,1,
4,inequality,\b(\d*)inequality(\d*)\b,,,2,
4,policy,\b(\d*)policy(\d*)\b,,,1,
4,schools,\b(\d*)schools(\d*)\b,,,4,TRUE
4,theory,\b(\d*)theory(\d*)\b,,,1,
4,access,\b(\d*)access(\d*)\b,,,3,
4,based,\b(\d*)based(\d*)\b,,,1,
4,critical,\b(\d*)critical(\d*)\b,,,1,
4,policies,\b(\d*)policies(\d*)\b,,,1,
4,racial,\b(\d*)racial(\d*)\b,,,1,
4,role,\b(\d*)role(\d*)\b,,,1,
4,school,\b(\d*)school(\d*)\b,,,3,
4,society,\b(\d*)society(\d*)\b,,,1,
4,schooling,\b(\d*)schooling(\d*)\b,,,2,
4,race class,\b(\d*)race class(\d*)\b,,,1,
4,reform,\b(\d*)reform(\d*)\b,,,1,
4,civil rights,\b(\d*)civil rights(\d*)\b,,,1,
4,linguistic,\b(\d*)linguistic(\d*)\b,,,1,
4,children,\b(\d*)children(\d*)\b,,,1,
4,learning,\b(\d*)learning(\d*)\b,,,1,
4,american schools,\b(\d*)american schools(\d*)\b,,,1,
4,developing countries,\b(\d*)developing countries(\d*)\b,,,2,
4,educational reform,\b(\d*)educational reform(\d*)\b,,,3,
4,public education,\b(\d*)public education(\d*)\b,,,3,
4,public schools,\b(\d*)public schools(\d*)\b,,,1,
4,marginalized,\b(\d*)marginalized(\d*)\b,,,1,
4,reading,\b(\d*)reading(\d*)\b,,,1,
4,skills,\b(\d*)skills(\d*)\b,,,1,
4,writing,\b(\d*)writing(\d*)\b,,,1,
4,american identity,\b(\d*)american identity(\d*)\b,,,1,
4,american society,\b(\d*)american society(\d*)\b,,,1,
4,amherst college,\b(\d*)amherst college(\d*)\b,,,1,
4,economic growth,\b(\d*)economic growth(\d*)\b,,,1,
4,educational attainment,\b(\d*)educational attainment(\d*)\b,,,2,
4,educational opportunity,\b(\d*)educational opportunity(\d*)\b,,,2,
4,teaching,\b(\d*)teaching(\d*)\b,,,1,
4,educators,\b(\d*)educators(\d*)\b,,,2,
4,multicultural,\b(\d*)multicultural(\d*)\b,,,1,
4,teachers,\b(\d*)teachers(\d*)\b,,,4,
4,academic,\b(\d*)academic(\d*)\b,,,2,
4,classrooms,\b(\d*)classrooms(\d*)\b,,,1,
4,attendance,\b(\d*)attendance(\d*)\b,,,1,
4,better,\b(\d*)better(\d*)\b,,,1,
4,education reform,\b(\d*)education reform(\d*)\b,,,2,
4,employment,\b(\d*)employment(\d*)\b,,,1,
4,humanism,\b(\d*)humanism(\d*)\b,,,1,
4,humanistic,\b(\d*)humanistic(\d*)\b,,,1,
4,needs,\b(\d*)needs(\d*)\b,,,1,
4,professional,\b(\d*)professional(\d*)\b,,,1,
4,segregated,\b(\d*)segregated(\d*)\b,,,1,
4,segregation,\b(\d*)segregation(\d*)\b,,,1,
4,special,\b(\d*)special(\d*)\b,,,1,
4,teacher quality,\b(\d*)teacher quality(\d*)\b,,,1,
4,writing skills,\b(\d*)writing skills(\d*)\b,,,1,
5,gender,\b(\d*)gender(\d*)\b,,,2,TRUE
5,sexuality,\b(\d*)sexuality(\d*)\b,,,2,
5,class,\b(\d*)class(\d*)\b,,,1,
5,race,\b(\d*)race(\d*)\b,,,1,
5,women,\b(\d*)women(\d*)\b,,,2,
5,social,\b(\d*)social(\d*)\b,,,2,
5,feminist,\b(\d*)feminist(\d*)\b,,,2,TRUE
5,political,\b(\d*)political(\d*)\b,,,1,
5,historical,\b(\d*)historical(\d*)\b,,,1,
5,interdisciplinary,\b(\d*)interdisciplinary(\d*)\b,,,1,
5,world,\b(\d*)world(\d*)\b,,,1,
5,american,\b(\d*)american(\d*)\b,,,1,
5,history,\b(\d*)history(\d*)\b,,,1,
5,politics,\b(\d*)politics(\d*)\b,,,1,
5,race gender,\b(\d*)race gender(\d*)\b,,,2,
5,sexual,\b(\d*)sexual(\d*)\b,,,2,
5,cultural,\b(\d*)cultural(\d*)\b,,,1,
5,power,\b(\d*)power(\d*)\b,,,1,
5,racial,\b(\d*)racial(\d*)\b,,,1,
5,rights,\b(\d*)rights(\d*)\b,,,1,
5,gender sexuality,\b(\d*)gender sexuality(\d*)\b,,,1,
5,female,\b(\d*)female(\d*)\b,,,1,
5,masculinity,\b(\d*)masculinity(\d*)\b,,,3,
5,sex,\b(\d*)sex(\d*)\b,,,4,
5,gendered,\b(\d*)gendered(\d*)\b,,,4,
5,intersectional,\b(\d*)intersectional(\d*)\b,,,1,
5,violence,\b(\d*)violence(\d*)\b,,,1,
5,feminism,\b(\d*)feminism(\d*)\b,,,1,
5,sex gender,\b(\d*)sex gender(\d*)\b,,,1,
5,representation,\b(\d*)representation(\d*)\b,,,1,
5,latin america,\b(\d*)latin america(\d*)\b,,,1,
5,race class,\b(\d*)race class(\d*)\b,,,1,
5,girls,\b(\d*)girls(\d*)\b,,,2,
5,marriage,\b(\d*)marriage(\d*)\b,,,3,
5,critical race,\b(\d*)critical race(\d*)\b,,,1,
5,feminist theory,\b(\d*)feminist theory(\d*)\b,,,1,
5,reproductive health,\b(\d*)reproductive health(\d*)\b,,,1,
5,wing,\b(\d*)wing(\d*)\b,,,1,
5,abortion,\b(\d*)abortion(\d*)\b,,,2,
5,technology,\b(\d*)technology(\d*)\b,,,1,
5,equality,\b(\d*)equality(\d*)\b,,,1,TRUE
5,opportunities,\b(\d*)opportunities(\d*)\b,,,2,
5,paid,\b(\d*)paid(\d*)\b,,,1,
5,sexism,\b(\d*)sexism(\d*)\b,,,1,
5,boys,\b(\d*)boys(\d*)\b,,,2,
5,empowerment,\b(\d*)empowerment(\d*)\b,,,3,
5,hegemonic,\b(\d*)hegemonic(\d*)\b,,,1,
5,leadership,\b(\d*)leadership(\d*)\b,,,1,
5,woman,\b(\d*)woman(\d*)\b,,,1,
5,arranged,\b(\d*)arranged(\d*)\b,,,1,
5,autonomy,\b(\d*)autonomy(\d*)\b,,,1,
5,feminist perspective,\b(\d*)feminist perspective(\d*)\b,,,1,
5,gap,\b(\d*)gap(\d*)\b,,,1,
5,gender differences,\b(\d*)gender differences(\d*)\b,,,2,
5,intersectionality,\b(\d*)intersectionality(\d*)\b,,,1,
5,marginalization,\b(\d*)marginalization(\d*)\b,,,1,
5,marginalized,\b(\d*)marginalized(\d*)\b,,,1,
5,marriages,\b(\d*)marriages(\d*)\b,,,1,
5,stereotypes,\b(\d*)stereotypes(\d*)\b,,,1,
5,unintended,\b(\d*)unintended(\d*)\b,,,1,
5,victims,\b(\d*)victims(\d*)\b,,,1,
6,environmental,\b(\d*)environmental(\d*)\b,,,1,
6,water,\b(\d*)water(\d*)\b,,,4,TRUE
6,climate,\b(\d*)climate(\d*)\b,,,1,
6,global,\b(\d*)global(\d*)\b,,,2,
6,change,\b(\d*)change(\d*)\b,,,1,
6,history,\b(\d*)history(\d*)\b,,,1,
6,world,\b(\d*)world(\d*)\b,,,1,
6,air,\b(\d*)air(\d*)\b,,,1,TRUE
6,class,\b(\d*)class(\d*)\b,,,1,
6,energy,\b(\d*)energy(\d*)\b,,,1,TRUE
6,human,\b(\d*)human(\d*)\b,,,1,TRUE
6,issues,\b(\d*)issues(\d*)\b,,,1,
6,processes,\b(\d*)processes(\d*)\b,,,1,
6,discussion,\b(\d*)discussion(\d*)\b,,,1,
6,natural,\b(\d*)natural(\d*)\b,,,1,
6,relationship,\b(\d*)relationship(\d*)\b,,,1,
6,climate change,\b(\d*)climate change(\d*)\b,,,1,TRUE
6,earths,\b(\d*)earth's(\d*)\b,,,2,TRUE
6,historical,\b(\d*)historical(\d*)\b,,,1,
6,justice,\b(\d*)justice(\d*)\b,,,1,
6,nature,\b(\d*)nature(\d*)\b,,,1,
6,political,\b(\d*)political(\d*)\b,,,1,
6,politics,\b(\d*)politics(\d*)\b,,,1,
6,pollution,\b(\d*)pollution(\d*)\b,,,1,TRUE
6,scientific,\b(\d*)scientific(\d*)\b,,,1,
6,social,\b(\d*)social(\d*)\b,,,1,
6,systems,\b(\d*)systems(\d*)\b,,,1,
6,environmental issues,\b(\d*)environmental issues(\d*)\b,,,1,TRUE
6,chemical,\b(\d*)chemical(\d*)\b,,,1,
6,contamination,\b(\d*)contamination(\d*)\b,,,1,TRUE
6,resource,\b(\d*)resource(\d*)\b,,,1,TRUE
6,management,\b(\d*)management(\d*)\b,,,1,
6,air pollution,\b(\d*)air pollution(\d*)\b,,,1,
6,earths climate,\b(\d*)earth's climate(\d*)\b,,,1,TRUE
6,environmental justice,\b(\d*)environmental justice(\d*)\b,,,1,
6,political ecology,\b(\d*)political ecology(\d*)\b,,,1,TRUE
6,atmosphere,\b(\d*)atmosphere(\d*)\b,,,1,TRUE
6,organisms,\b(\d*)organisms(\d*)\b,,,1,TRUE
6,contaminated,\b(\d*)contaminated(\d*)\b,,,1,
6,ecosystems,\b(\d*)ecosystems(\d*)\b,,,1,TRUE
6,minerals,\b(\d*)minerals(\d*)\b,,,1,TRUE
6,planet's,\b(\d*)planet's(\d*)\b,,,1,
6,waste,\b(\d*)waste(\d*)\b,,,1,TRUE
6,drilling,\b(\d*)drilling(\d*)\b,,,1,
6,extinct,\b(\d*)extinct(\d*)\b,,,1,TRUE
6,aquatic,\b(\d*)aquatic(\d*)\b,,,1,TRUE
6,groundwater,\b(\d*)groundwater(\d*)\b,,,1,TRUE
6,restoration,\b(\d*)restoration(\d*)\b,,,3,TRUE
6,river,\b(\d*)river(\d*)\b,,,1,TRUE
6,water contamination,\b(\d*)water contamination(\d*)\b,,,1,TRUE
6,water pollution,\b(\d*)water pollution(\d*)\b,,,1,TRUE
6,water quality,\b(\d*)water quality(\d*)\b,,,1,TRUE
6,ocean,\b(\d*)ocean(\d*)\b,,,1,TRUE
6,waters,\b(\d*)waters(\d*)\b,,,1,
7,energy,\b(\d*)energy(\d*)\b,,,3,TRUE
7,change,\b(\d*)change(\d*)\b,,,1,
7,climate,\b(\d*)climate(\d*)\b,,,1,
7,global,\b(\d*)global(\d*)\b,,,1,
7,environmental,\b(\d*)environmental(\d*)\b,,,3,TRUE
7,world,\b(\d*)world(\d*)\b,,,1,
7,class,\b(\d*)class(\d*)\b,,,1,
7,sustainability,\b(\d*)sustainability(\d*)\b,,,1,TRUE
7,systems,\b(\d*)systems(\d*)\b,,,1,
7,climate change,\b(\d*)climate change(\d*)\b,,,3,TRUE
7,fundamental,\b(\d*)fundamental(\d*)\b,,,1,
7,processes,\b(\d*)processes(\d*)\b,,,1,
7,social,\b(\d*)social(\d*)\b,,,1,
7,issues,\b(\d*)issues(\d*)\b,,,1,
7,water,\b(\d*)water(\d*)\b,,,1,
7,control,\b(\d*)control(\d*)\b,,,1,
7,earth,\b(\d*)earth(\d*)\b,,,1,TRUE
7,science,\b(\d*)science(\d*)\b,,,1,
7,sustainable,\b(\d*)sustainable(\d*)\b,,,3,TRUE
7,based,\b(\d*)based(\d*)\b,,,1,
7,development,\b(\d*)development(\d*)\b,,,1,
7,human,\b(\d*)human(\d*)\b,,,1,
7,justice,\b(\d*)justice(\d*)\b,,,1,
7,life,\b(\d*)life(\d*)\b,,,1,
7,major,\b(\d*)major(\d*)\b,,,1,
7,mechanisms,\b(\d*)mechanisms(\d*)\b,,,1,
7,molecular,\b(\d*)molecular(\d*)\b,,,1,
7,natural,\b(\d*)natural(\d*)\b,,,1,
7,policy,\b(\d*)policy(\d*)\b,,,1,
7,political,\b(\d*)political(\d*)\b,,,1,
7,politics,\b(\d*)politics(\d*)\b,,,1,
7,power,\b(\d*)power(\d*)\b,,,1,
7,principles,\b(\d*)principles(\d*)\b,,,1,
7,solutions,\b(\d*)solutions(\d*)\b,,,1,
7,time,\b(\d*)time(\d*)\b,,,1,
7,environmental issues,\b(\d*)environmental issues(\d*)\b,,,1,TRUE
7,solar,\b(\d*)solar(\d*)\b,,,1,
7,cutting edge,\b(\d*)cutting edge(\d*)\b,,,1,
7,fuel,\b(\d*)fuel(\d*)\b,,,2,
7,earth system,\b(\d*)earth system(\d*)\b,,,1,TRUE
7,earth's climate,\b(\d*)earth's climate(\d*)\b,,,1,
7,environmental change,\b(\d*)environmental change(\d*)\b,,,1,
7,renewable,\b(\d*)renewable(\d*)\b,,,4,TRUE
7,batteries,\b(\d*)batteries(\d*)\b,,,1,
7,battery,\b(\d*)battery(\d*)\b,,,1,
7,biofuels,\b(\d*)biofuels(\d*)\b,,,3,
7,electric,\b(\d*)electric(\d*)\b,,,2,
7,fuel cells,\b(\d*)fuel cells(\d*)\b,,,1,
7,fuels,\b(\d*)fuels(\d*)\b,,,1,
7,grid,\b(\d*)grid(\d*)\b,,,2,
7,hydrogen,\b(\d*)hydrogen(\d*)\b,,,3,
7,photovoltaic,\b(\d*)photovoltaic(\d*)\b,,,3,
7,renewable energy,\b(\d*)renewable energy(\d*)\b,,,2,
7,saving,\b(\d*)saving(\d*)\b,,,1,
7,smart,\b(\d*)smart(\d*)\b,,,1,
7,solar cells,\b(\d*)solar cells(\d*)\b,,,1,
7,solar power,\b(\d*)solar power(\d*)\b,,,1,
7,things,\b(\d*)things(\d*)\b,,,1,
7,wind,\b(\d*)wind(\d*)\b,,,1,
7,wind energy,\b(\d*)wind energy(\d*)\b,,,1,
8,economic,\b(\d*)economic(\d*)\b,36,361.08,1,TRUE
8,political,\b(\d*)political(\d*)\b,20,198.39,1,
8,policy,\b(\d*)policy(\d*)\b,15,152.95,1,
8,social,\b(\d*)social(\d*)\b,17,145.05,1,
8,economy,\b(\d*)economy(\d*)\b,11,138.79,1,
8,economics,\b(\d*)economics(\d*)\b,14,138.78,1,
8,growth,\b(\d*)growth(\d*)\b,11,137.79,1,TRUE
8,world,\b(\d*)world(\d*)\b,11,125.44,1,
8,development,\b(\d*)development(\d*)\b,10,117.63,1,TRUE
8,change,\b(\d*)change(\d*)\b,11,111.02,1,
8,inequality,\b(\d*)inequality(\d*)\b,9,108.67,3,TRUE
8,modern,\b(\d*)modern(\d*)\b,9,108.08,1,
8,focus,\b(\d*)focus(\d*)\b,11,105.44,1,
8,global,\b(\d*)global(\d*)\b,12,100.06,1,
,current,\b(\d*)current(\d*)\b,9,99.72,1,
8,institutions,\b(\d*)institutions(\d*)\b,10,98.99,1,
8,politics,\b(\d*)politics(\d*)\b,10,98.69,1,
8,history,\b(\d*)history(\d*)\b,10,95.92,1,
8,countries,\b(\d*)countries(\d*)\b,9,94.3,1,
,key,\b(\d*)key(\d*)\b,7,93.87,1,
8,labor,\b(\d*)labor(\d*)\b,10,90.77,3,
8,theory,\b(\d*)theory(\d*)\b,8,90.44,1,
,central,\b(\d*)central(\d*)\b,9,88.4,1,
,united,\b(\d*)united(\d*)\b,9,87.24,1,
,role,\b(\d*)role(\d*)\b,8,81.37,1,
8,income,\b(\d*)income(\d*)\b,6,78.97,1,
,class,\b(\d*)class(\d*)\b,9,78.27,1,
,century,\b(\d*)century(\d*)\b,7,77.66,1,
,introduction,\b(\d*)introduction(\d*)\b,7,77.52,1,
,issues,\b(\d*)issues(\d*)\b,6,77.35,1,
,explore,\b(\d*)explore(\d*)\b,8,76.33,1,
,activity,\b(\d*)activity(\d*)\b,6,76.23,1,
8,society,\b(\d*)society(\d*)\b,8,73.24,1,
8,environmental,\b(\d*)environmental(\d*)\b,6,66.8,1,
,seminar,\b(\d*)seminar(\d*)\b,7,66.72,1,
8,economies,\b(\d*)economies(\d*)\b,6,65.28,1,
,explain,\b(\d*)explain(\d*)\b,5,64.45,1,
8,international,\b(\d*)international(\d*)\b,7,63.84,1,
8,challenges,\b(\d*)challenges(\d*)\b,8,63.68,1,
8,justice,\b(\d*)justice(\d*)\b,7,63.52,3,
,analysis,\b(\d*)analysis(\d*)\b,7,63.08,1,
,begin,\b(\d*)begin(\d*)\b,5,62.59,1,
,impact,\b(\d*)impact(\d*)\b,6,62.32,1,
,relationship,\b(\d*)relationship(\d*)\b,6,62.06,1,TRUE
,consequences,\b(\d*)consequences(\d*)\b,5,61.41,1,
8,gender,\b(\d*)gender(\d*)\b,7,61.37,1,
8,education,\b(\d*)education(\d*)\b,4,60.7,1,
8,empirical,\b(\d*)empirical(\d*)\b,6,59.97,1,
8,critical,\b(\d*)critical(\d*)\b,6,59.49,1,
8,war,\b(\d*)war(\d*)\b,6,58.63,1,
8,work,\b(\d*)work(\d*)\b,,,1,
8,employment,\b(\d*)employment(\d*)\b,,,1,
